County,Votes
Colbert,24626.0
Jackson,24509.0
Genesee,24463.0
Putnam,24443.0
Huron,24332.0
Herkimer,24261.0
Henry,24232.0
Muskogee,24193.0
Lamar,24179.0
Scott,24178.0
Liberty,24155.0
Bulloch,24151.0
Ashland,24074.0
Grant,24051.0
Lincoln,24035.0
Henry,24029.0
Jefferson,24007.0
Walker,23939.0
Dearborn,23910.0
Franklin,23860.0
Pickaway,23814.0
Ogle,23798.0
St. Joseph,23765.0
Lyon,23762.0
Itasca,23650.0
Beaufort,23599.0
Bedford,23504.0
Greene,23491.0
Seneca,23481.0
Tuolumne,23472.0
Columbus,23472.0
Reno,23448.0
Taney,23399.0
Effingham,23395.0
Tipton,23372.0
Jessamine,23306.0
Loudon,23304.0
Cass,23272.0
Shelby,23110.0
Kerr,23090.0
Otsego,23024.0
Knox,23021.0
Mercer,22919.0
Marion,22910.0
Grundy,22891.0
Tehama,22875.0
"St. Mary Parish, Louisiana",22871.0
Auglaize,22860.0
Hardin,22768.0
Clinton,22748.0
Polk,22691.0
Cerro Gordo,22633.0
Waldo,22630.0
Eagle,22611.0
Newaygo,22605.0
Boone,22604.0
Barron,22514.0
Nacogdoches,22430.0
Crawford,22403.0
Washington,22401.0
Wayne,22365.0
Calaveras,22334.0
Grady,22257.0
"Charlottesville city, Virginia",22211.0
Washington,22208.0
Douglas,22185.0
Camden,22182.0
Stokes,22182.0
Sullivan,22129.0
Ravalli,22122.0
Venango,22096.0
Culpeper,22087.0
Christian,22083.0
Gadsden,22079.0
Dunn,22029.0
Knox,21964.0
Macoupin,21881.0
Fremont,21880.0
Pope,21770.0
Cherokee,21754.0
Ottawa,21742.0
Garfield,21692.0
Van Zandt,21689.0
Kandiyohi,21648.0
Douglas,21623.0
Sagadahoc,21596.0
Coles,21580.0
Roane,21580.0
San Patricio,21513.0
Lincoln,21432.0
Gila,21398.0
Davie,21350.0
Hall,21331.0
Beltrami,21316.0
Mercer,21315.0
Saline,21206.0
Perry,21153.0
Windham,21151.0
Pierce,21089.0
Johnson,21087.0
Montrose,21070.0
Yuba,21058.0
Logan,21007.0
Jackson,20997.0
Carter,20993.0
McKinley,20959.0
Isanti,20875.0
Oneida,20837.0
Jackson,20785.0
Nelson,20772.0
"St. John the Baptist Parish, Louisiana",20740.0
Hawkins,20694.0
Fulton,20693.0
Duplin,20601.0
Franklin,20584.0
Hamblen,20579.0
Shelby,20573.0
Tioga,20556.0
Coffee,20513.0
Isle of Wight,20481.0
Buffalo,20477.0
Riley,20475.0
Preble,20475.0
Boyd,20454.0
Hopkins,20341.0
Shenandoah,20335.0
Chaves,20261.0
Summit,20133.0
Jefferson,20100.0
Henry,20075.0
Marinette,19979.0
Kendall,19936.0
Oconto,19924.0
Dubois,19917.0
Benton,19911.0
Coffee,19895.0
Hillsdale,19880.0
Siskiyou,19836.0
Otero,19791.0
Vance,19762.0
Baxter,19730.0
Walla Walla,19718.0
Henderson,19705.0
Shawano,19697.0
Walker,19683.0
Lafayette,19642.0
Eddy,19602.0
Nye,19592.0
Fulton,19563.0
McDowell,19557.0
Monroe,19554.0
Stephenson,19525.0
Gloucester,19524.0
Huntingdon,19496.0
Gibson,19484.0
Laurens,19448.0
Woodford,19389.0
Franklin,19373.0
Levy,19367.0
Fayette,19306.0
Person,19303.0
Wilson,19255.0
Sanilac,19243.0
Susquehanna,19200.0
Brown,19139.0
Russell,19136.0
Callaway,19127.0
Muscatine,19086.0
Lawrence,19076.0
Monroe,19074.0
Burnet,19046.0
Steele,19040.0
Oconee,19030.0
Dare,19009.0
Jefferson,18994.0
Rusk,18994.0
Logan,18948.0
Osage,18942.0
Tooele,18905.0
Pearl River,18893.0
Greene,18869.0
"Danville city, Virginia",18862.0
Gordon,18850.0
Camden,18825.0
Richmond,18813.0
Green,18791.0
Jasper,18776.0
Emmet,18774.0
Talbot,18731.0
Thomas,18730.0
Dallas,18730.0
Des Moines,18713.0
Crawford,18702.0
McMinn,18694.0
McLeod,18684.0
Suwannee,18675.0
"Lincoln Parish, Louisiana",18664.0
Apache,18659.0
Wood,18646.0
Botetourt,18641.0
"Washington Parish, Louisiana",18622.0
Dickson,18619.0
Dale,18617.0
Jefferson,18551.0
Elko,18545.0
Lamar,18537.0
Franklin,18533.0
Carter,18533.0
Harrison,18528.0
Tallapoosa,18504.0
Phelps,18499.0
Tazewell,18495.0
Barren,18483.0
Delta,18467.0
Cortland,18424.0
Putnam,18387.0
Kittitas,18334.0
Warren,18287.0
Chilton,18255.0
Mifflin,18239.0
Clatsop,18158.0
Latah,18146.0
"Webster Parish, Louisiana",18140.0
Coryell,18127.0
Chenango,18113.0
Clinton,18100.0
Carlton,18059.0
Pettis,18045.0
Alexander,18011.0
Marshall,18008.0
Jackson,18004.0
Sioux,17989.0
Campbell,17935.0
Shelby,17935.0
Nicollet,17914.0
Stephens,17886.0
Hoke,17847.0
Ohio,17819.0
Defiance,17795.0
Warren,17791.0
Delaware,17778.0
Marshall,17700.0
"Harrisonburg city, Virginia",17693.0
Warren,17624.0
Champaign,17597.0
Addison,17592.0
Mower,17587.0
San Benito,17572.0
Marion,17554.0
Morrison,17534.0
Jackson,17532.0
Hancock,17517.0
Louisa,17507.0
Clarion,17481.0
Lea,17449.0
Transylvania,17440.0
Montgomery,17438.0
Effingham,17428.0
Howell,17415.0
Union,17400.0
Door,17398.0
Yadkin,17350.0
Macon,17336.0
Tioga,17334.0
Clinton,17268.0
Pittsburg,17250.0
Scott,17244.0
Webster,17239.0
Butler,17232.0
Colleton,17231.0
Le Flore,17199.0
Nez Perce,17195.0
Medina,17187.0
Amador,17186.0
Orange,17157.0
Mecosta,17149.0
Chesterfield,17128.0
Allegany,17111.0
Becker,17090.0
Monroe,17050.0
Highland,17048.0
Pasquotank,16964.0
Halifax,16946.0
Williams,16938.0
Noble,16890.0
Anderson,16887.0
McClain,16839.0
Jefferson,16818.0
DeKalb,16816.0
Bonner,16815.0
Newberry,16795.0
Kay,16795.0
Powhatan,16794.0
Madison,16754.0
Orleans,16722.0
Waller,16715.0
Cherokee,16701.0
Webster,16690.0
Marshall,16688.0
Lawrence,16674.0
Sweetwater,16661.0
Delta,16661.0
Chambers,16661.0
"Vernon Parish, Louisiana",16633.0
Bingham,16625.0
"Natchitoches Parish, Louisiana",16617.0
Marion,16600.0
Graves,16592.0
"Avoyelles Parish, Louisiana",16581.0
Washington,16559.0
Box Elder,16548.0
Fremont,16543.0
Floyd,16540.0
Stone,16538.0
Branch,16490.0
Cherokee,16487.0
Gratiot,16442.0
Stevens,16438.0
Union,16433.0
Albany,16420.0
Harris,16392.0
Franklin,16382.0
Navarro,16382.0
Franklin,16363.0
Bennington,16345.0
Snyder,16333.0
Bureau,16303.0
Wyoming,16280.0
Greenup,16273.0
Silver Bow,16214.0
Clark,16202.0
Morrow,16186.0
Guernsey,16156.0
Oktibbeha,16151.0
Prince George,16140.0
Habersham,16128.0
Brown,16113.0
Boone,16098.0
Miller,16090.0
Liberty,16082.0
Baldwin,16075.0
Summit,16061.0
Calloway,16045.0
"Iberville Parish, Louisiana",16043.0
Huntington,15974.0
Laclede,15959.0
Freeborn,15929.0
Upshur,15918.0
Cooke,15894.0
Crittenden,15894.0
Lee,15893.0
Cass,15885.0
Huron,15848.0
Cheatham,15823.0
Covington,15818.0
Lafayette,15815.0
"St. Bernard Parish, Louisiana",15807.0
Monroe,15781.0
Warren,15766.0
Accomack,15755.0
Bladen,15743.0
Mayes,15712.0
Elbert,15689.0
Madison,15687.0
Delaware,15680.0
Lincoln,15674.0
Lawrence,15658.0
Pike,15633.0
Houghton,15623.0
Fulton,15609.0
McKean,15572.0
Morton,15547.0
Whitley,15535.0
Knox,15483.0
Gibson,15472.0
Chippewa,15434.0
Iron,15354.0
Wakulla,15344.0
Christian,15310.0
Bedford,15300.0
Wexford,15279.0
Coos,15278.0
Lee,15215.0
Escambia,15213.0
"Manassas city, Virginia",15210.0
Lincoln,15193.0
Fayette,15187.0
Mecklenburg,15177.0
Amherst,15164.0
Clarendon,15156.0
Franklin,15148.0
Pulaski,15112.0
Taos,15103.0
Montgomery,15101.0
Livingston,15096.0
Wayne,15080.0
Essex,15079.0
