name,visit
Billy Joel,121735
Jude Law,121622
Lucille Ball,121578
Confucius,121517
Kate Beckinsale,121364
Jason Segel,121283
Tina Turner,121227
Cary Grant,121047
John Adams,120607
Donald Bradman,120507
Ralph Fiennes,120167
Michael Bublé,120139
F. Scott Fitzgerald,120067
Adriana Lima,119839
Steve Martin,119651
Roger Federer,119580
Forest Whitaker,119470
Dean Martin,119410
George VI of the United Kingdom,119311
Josh Brolin,119304
Andrew Carnegie,119233
Kenny Rogers,119132
Jensen Ackles,119097
Stephen Fry,119093
Tyra Banks,119090
Pythagoras,118952
Brandon Lee,118922
Robert Redford,118916
Evan Rachel Wood,118893
James McAvoy,118722
Randy Orton,118674
Niels Henrik David Bohr,118635
Sheamus O'Shaunessy,118611
Spike Lee,118554
Jamie Foxx,118502
Wladimir Klitschko,118377
Preity Zinta,118301
Robin van Persie,118279
Terry Crews,118200
Sergey Brin,118185
Clark Gable,118052
Nas,118044
Paul Newman,118033
Gisele Bündchen,117898
Kate Moss,117602
Emily Deschanel,117521
Johann Sebastian Bach,117495
Paulina Rubio,117445
Axl Rose,117362
Victoria Justice,117356
Monica Bellucci,117277
Frederick Douglass,117253
Bruce Springsteen,117172
Roald Dahl,116975
Ray Charles,116712
Andrew Lincoln,116451
Joseph Goebbels,116449
Carl Jung,116383
J. D. Salinger,116282
Kim Jong-un,116242
Donald Sutherland,116190
Jean-Jacques Rousseau,115983
Ferdinand Magellan,115898
Romelu Lukaku,115871
Mary J. Blige,115621
Jessie J,115610
Garry Kasparov,115603
Eddie Vedder,115569
Niccolò Machiavelli,115442
Frederick Sanger,115407
Mark Ruffalo,115355
Courtney Love,115293
Kaká,114979
Abraham,114849
John Legend,114642
Madhuri Dixit,114527
Phil Collins,114477
January Jones,114334
Hedy Lamarr,114104
Graham Chapman,114071
Christopher Lee,113983
David Attenborough,113814
Sean Penn,113612
Sharon Stone,113351
Jesse James,113322
Christopher Nolan,113192
Christopher Reeve,113018
Agatha Christie,112992
Rachel Bilson,112887
Yoko Ono,112534
Reese Witherspoon,112440
Tina Fey,112284
Burt Lancaster,111979
Yvonne Strzechowski,111408
Andrew Garfield,111386
Howard Hughes,111311
Naomi Watts,111261
Ewan McGregor,111216
Jane Fonda,110923
Javier Bardem,110920
Louis Armstrong,110833
Uma Thurman,110794
René Descartes,110711
Ron Perlman,110704
Denise Richards,110669
Coco Chanel,110651
Ayn Rand,110515
Christina Ricci,110462
Jane Austen,110371
William Shatner,110357
James Cameron,110317
Paul Rudd,110208
Larry Flynt,109984
Harry Houdini,109946
Jada Pinkett Smith,109833
Babe Ruth,109732
Alfred Nobel,109619
James Madison,109613
Sonia Gandhi,109314
Ginnifer Goodwin,109098
Ted Turner,108958
Martin Scorsese,108954
Eva Longoria,108668
Jeremy Renner,108661
Anna Paquin,108639
Richard III of England,108559
Abhishek Bachchan,108423
Carey Mulligan,108379
Stevie Wonder,108302
Famke Janssen,108253
Alyssa Milano,108175
Katharine Hepburn,108153
Katie Holmes,108109
Bobby Fischer,108085
Heinrich Himmler,108047
Shania Twain,108035
Wentworth Miller,107964
Sharon Tate,107879
Francis Bacon,107728
Bill Murray,107684
Louis XIV of France,107599
Kirsten Dunst,107573
Angela Merkel,107453
Nero,107421
Matthew Perry,107403
Kurt Russell,107378
Miranda Cosgrove,107343
Saint Peter,107305
